word,x_coord,y_coord,word_count
taupō,48.29217,-11.43435,263
taniwha,36.047638,-27.477182,263
na,9.621177,31.633081,263
kiore,4.142816,-50.864864,262
pokapū,6.307447,-11.056771,261
tangohia,-17.75062,5.3202724,261
whakahau,-28.196642,-1.3778611,260
rata,0.519646,32.67289,259
toko,-13.314657,7.0377736,259
waiho,-16.193876,-1.7601587,258
ringa,18.465893,-39.306885,257
kētia,-3.8942504,1.82827,257
peretānia,-40.86494,36.91378,256
haina,-67.880196,1.4293021,256
wairoa,53.871445,4.428752,255
ākuhata,27.682297,9.708053,255
hōu,-49.860447,-33.92523,253
tira,13.388258,12.084006,252
ina,-6.2616305,-16.902187,252
tonutia,-4.134136,1.1356121,251
kāti,-0.649898,13.057623,251
aute,-15.544956,31.96499,249
tawhiti,48.309555,-26.013918,248
uta,47.842003,-20.133644,247
moea,23.504261,48.41278,246
whakatipu,-9.697818,-48.407204,245
tērā_pea,-0.4992327,0.76159817,245
whare_taonga,-25.964584,19.717297,243
waenga,18.092028,-3.0737584,243
whakawhiwhia,-20.801067,23.426613,243
pōmare,26.894987,27.481659,242
raupatu,-63.459167,-7.83239,241
whakaari,-40.220615,25.675388,241
pau,-0.7993745,-15.209003,238
ariki,46.219173,50.330173,238
urupā,39.57229,7.2400994,237
hoatu,-18.499931,5.274172,236
manuhiri,-9.492431,18.713219,236
au,-5.266657,-30.80421,236
pātata,42.15779,-8.290249,236
putanga,-0.96348125,-4.700302,235
hē,-21.21978,-17.065382,235
tutuki,-30.383436,-4.317572,235
taupori,-21.111296,-40.591763,234
ngāti_tūwharetoa,50.021984,38.115623,234
whaea,21.645775,51.25071,234
tōna_pāpā,18.546394,53.170677,234
whakatika,7.774969,-8.428749,233
eka,-70.30726,-12.502352,229
motuhake,-47.410854,-0.5956972,229
ngāti_whātua,43.572803,26.48879,229
hopu,8.163061,-49.110897,228
hēnare,9.624997,54.41077,227
wānanga,-25.922937,17.819809,226
£,-67.12884,-18.417007,226
koe,-5.3234286,-30.574017,225
ārohe,-30.324978,42.18032,225
manaaki,-39.722183,-5.5747795,225
moko,-43.29232,11.018394,224
peka,6.3369102,15.595757,224
whakaora,-19.721872,-32.57582,224
whakaako,-46.898846,-22.044939,224
whakauru,-1.799472,-2.200613,223
tuhituhi,-44.387436,18.886492,223
āpirana_ngata,-13.9459915,53.930267,222
whakatāne,55.543518,-2.5416567,222
hoani,9.622664,52.67144,222
tauiwi,-15.325332,-20.132902,221
ōrite,-25.846268,-28.586643,220
rārangi,-6.015226,-3.2771206,220
kāpene,1.994893,46.197628,218
poropiti,-6.1994033,43.348495,218
tupu,11.832824,-3.2219374,217
waihoki,-5.1217365,-15.357949,216
mātua,-1.2371988,20.771801,215
pakanga_tuarua,5.751284,-5.042734,215
rangitāne,45.002506,23.79224,215
wherowhero,2.8548434,33.73455,215
tangihanga,-8.286118,18.66593,213
whakaaturanga,-50.372673,13.58844,212
uniana,-56.803356,-14.885299,212
māra,7.1991515,-63.83181,211
mīhana,-12.041145,37.6416,211
tumuaki,-22.951523,42.597916,211
whaikōrero,-36.910835,16.491709,211
ōtākou,63.394024,-14.075828,209
tohua,-22.30888,10.512713,209
hēkeretari,-23.426748,42.27764,209
whakarongo,-36.439587,15.409121,208
harakeke,12.31326,-55.041645,207
muri_iho,2.9551542,1.7723324,207
kia_kaua,-24.584852,-3.567042,206
teina,20.39108,54.783054,206
tāia,-49.077774,18.354414,206
utua,-67.37042,-18.420412,206
whakahoki,-14.050015,-0.7817706,205
kawea,-15.602208,2.6951485,204
toro,11.76816,-7.079454,204
whakamātau,-28.132034,-4.245506,204
pae,45.204273,-21.010437,203
tohe,-31.146889,-6.8097115,203
neke,11.925216,-4.8074408,203
kararehe,-2.0169148,-56.50069,202
kāwhia,53.32457,-3.3375034,202
karangatia,6.6206326,6.048286,202
hōtaka,-50.880375,12.397543,202
pito,41.982994,-24.960192,201
māmā,-9.310872,-47.616688,200
ono,3.9058626,-15.922572,200
wharenui,34.97955,-42.52805,200
whakaputa,-47.240665,17.771791,199
inarā,-6.1661544,5.4555078,198
kupe,37.785877,-24.692781,198
tango,-14.150392,-2.0231788,197
ō_rātau,9.619273,11.115365,197
